state,signal,date,issue,lag,value,stderr,sample_size,geo_type,data_source
MT,smoothed_cli,2020-04-09,2020-09-03,147,1.0388674,0.1422641,4144.3025,state,fb-survey
NC,smoothed_cli,2020-04-09,2020-09-03,147,0.7137832,0.0487597,22056.0158,state,fb-survey
ND,smoothed_cli,2020-04-09,2020-09-03,147,0.5898103,0.1255336,2658.6659,state,fb-survey
NE,smoothed_cli,2020-04-09,2020-09-03,147,1.0404237,0.1099227,6588.3649,state,fb-survey
NH,smoothed_cli,2020-04-09,2020-09-03,147,0.7448758,0.0966135,5520.5532,state,fb-survey
NJ,smoothed_cli,2020-04-09,2020-09-03,147,1.121979,0.0588769,23159.9863,state,fb-survey
NM,smoothed_cli,2020-04-09,2020-09-03,147,0.6305057,0.0810057,6822.3497,state,fb-survey
NV,smoothed_cli,2020-04-09,2020-09-03,147,0.8402205,0.0776921,10442.0451,state,fb-survey
NY,smoothed_cli,2020-04-09,2020-09-03,147,1.5979509,0.0772688,19808.0011,state,fb-survey
OH,smoothed_cli,2020-04-09,2020-09-03,147,0.8008458,0.046752,26307.008,state,fb-survey
OK,smoothed_cli,2020-04-09,2020-09-03,147,0.9518966,0.0686736,14448.15,state,fb-survey
OR,smoothed_cli,2020-04-09,2020-09-03,147,1.0393518,0.0700796,15727.3101,state,fb-survey
PA,smoothed_cli,2020-04-09,2020-09-03,147,0.6712068,0.0417533,28812.0207,state,fb-survey
RI,smoothed_cli,2020-04-09,2020-09-03,147,0.6983685,0.1170089,3799.9425,state,fb-survey
SC,smoothed_cli,2020-04-09,2020-09-03,147,0.7326872,0.0542044,18189.0144,state,fb-survey
SD,smoothed_cli,2020-04-09,2020-09-03,147,1.0289601,0.1572894,3072.7902,state,fb-survey
TN,smoothed_cli,2020-04-09,2020-09-03,147,0.8184867,0.0525374,22163.8212,state,fb-survey
TX,smoothed_cli,2020-04-09,2020-09-03,147,0.7579653,0.0508471,21229.2566,state,fb-survey
UT,smoothed_cli,2020-04-09,2020-09-03,147,0.9322425,0.0779669,10680.348,state,fb-survey
VA,smoothed_cli,2020-04-09,2020-09-03,147,0.6559714,0.0437124,24533.211,state,fb-survey
VT,smoothed_cli,2020-04-09,2020-09-03,147,0.738965,0.1563727,2489.0025,state,fb-survey
WA,smoothed_cli,2020-04-09,2020-09-03,147,0.7513255,0.0460841,25509.7351,state,fb-survey
WI,smoothed_cli,2020-04-09,2020-09-03,147,0.7646157,0.0518003,21478.9501,state,fb-survey
WV,smoothed_cli,2020-04-09,2020-09-03,147,0.7090594,0.0810741,7963.9864,state,fb-survey
WY,smoothed_cli,2020-04-09,2020-09-03,147,1.1167986,0.1903821,2213.6181,state,fb-survey
AK,smoothed_cli,2020-04-10,2020-09-03,146,0.8556548,0.1551519,2752,state,fb-survey
AL,smoothed_cli,2020-04-10,2020-09-03,146,0.7875427,0.0564778,18394.3693,state,fb-survey
AR,smoothed_cli,2020-04-10,2020-09-03,146,0.908503,0.0774492,11516.7624,state,fb-survey
AZ,smoothed_cli,2020-04-10,2020-09-03,146,0.9135751,0.0524999,24581.5066,state,fb-survey
CA,smoothed_cli,2020-04-10,2020-09-03,146,0.7012789,0.0479669,22968.3438,state,fb-survey
CO,smoothed_cli,2020-04-10,2020-09-03,146,1.2412729,0.0611418,24788.2386,state,fb-survey
CT,smoothed_cli,2020-04-10,2020-09-03,146,0.8736609,0.0690868,13288,state,fb-survey
DC,smoothed_cli,2020-04-10,2020-09-03,146,0.5160056,0.1256546,2395,state,fb-survey
DE,smoothed_cli,2020-04-10,2020-09-03,146,0.718018,0.1165544,3964.0438,state,fb-survey
FL,smoothed_cli,2020-04-10,2020-09-03,146,0.6428509,0.041456,27841.0017,state,fb-survey
GA,smoothed_cli,2020-04-10,2020-09-03,146,0.6812307,0.0451185,23349.8416,state,fb-survey
HI,smoothed_cli,2020-04-10,2020-09-03,146,0.6271379,0.112951,3828,state,fb-survey
IA,smoothed_cli,2020-04-10,2020-09-03,146,1.0841408,0.0776725,13317.8347,state,fb-survey
ID,smoothed_cli,2020-04-10,2020-09-03,146,1.109225,0.1053666,7302.0662,state,fb-survey
IL,smoothed_cli,2020-04-10,2020-09-03,146,0.8252989,0.0489469,25483.1364,state,fb-survey
